4045
id03914	72.3	18.7
id03915	72.3111	18.9333
id03916	72.2667	19.1333
id03917	72.2083	19.3
id03918	72.1333	19.45
id03919	72.05	19.6
id03920	71.9667	19.7333
id03921	71.8333	19.85
id03922	71.7	19.9333
id03923	71.5333	20.0333
id03924	71.4	20.1
id03925	71.2	20.1667
id03926	71.0333	20.2167
id03927	70.8667	20.2667
id03928	70.7	20.3333
id03929	70.5333	20.4333
id03930	70.4333	20.5333
id03931	70.3	20.6667
id03932	70.1667	20.75
id03933	73.2	6.9672
id03934	73.2	6.824
id03935	73.0921	6.6667
id03936	73.0667	6.4384
id03937	73.2023	6.3333
id03938	73.2704	6.1333
id03939	73.3783	5.9667
id03940	73.404	5.8
id03941	73.3	5.6598
id03942	73.1667	5.7971
id03943	73.1	5.9936
id03944	73.0	6.1379
id03945	72.9333	6.3517
id03946	72.8853	6.5
id03947	72.8953	6.7
id03948	72.9333	6.8354
id03949	72.9667	5.9017
id03950	72.9757	5.8333
id03951	73.0022	5.7667
id03952	73.0094	5.6667
id03953	73.0346	5.6
id03954	73.0345	5.5
id03955	73.0	5.443
id03956	72.9667	5.3902
id03957	72.9	5.3583
id03958	72.8667	5.375
id03959	72.8667	5.4388
id03960	72.8333	5.5105
id03961	72.8	5.5458
id03962	72.8381	5.6
id03963	72.8592	5.7
id03964	72.8667	5.7774
id03965	72.9184	5.8333
id03966	73.4333	4.7683
id03967	73.5	4.7057
id03968	73.5667	4.6418
id03969	73.6031	4.5667
id03970	73.6798	4.5
id03971	73.7	4.4254
id03972	73.6173	4.3667
id03973	73.5605	4.3
id03974	73.5333	4.1999
id03975	73.4333	4.2254
id03976	73.3943	4.3
id03977	73.3645	4.4
id03978	73.39	4.5
id03979	73.4086	4.6
id03980	73.4	4.6691
id03981	72.7667	4.2718
id03982	72.84	4.2333
id03983	72.9	4.1431
id03984	72.9372	4.0667
id03985	72.9004	3.9667
id03986	72.9408	3.8667
id03987	72.9379	3.7333
id03988	72.9333	3.6167
id03989	72.9	3.5199
id03990	72.8	3.4981
id03991	72.7255	3.5333
id03992	72.6876	3.6333
id03993	72.6959	3.7667
id03994	72.7134	3.8667
id03995	72.6991	3.9667
id03996	72.7229	4.0667
id03997	72.7619	4.1667
id03998	73.4	3.6668
id03999	73.4667	3.6453
id04000	73.4759	3.5667
id04001	73.5056	3.5
id04002	73.5667	3.4336
id04003	73.6333	3.4133
id04004	73.7	3.4525
id04005	73.7381	3.4667
id04006	73.7043	3.4
id04007	73.6333	3.3972
id04008	73.5369	3.3667
id04009	73.4712	3.3333
id04010	73.4268	3.3333
id04011	73.388	3.4
id04012	73.371	3.5
id04013	73.3667	3.5717
id04014	73.1	2.5432
id04015	73.1676	2.5333
id04016	73.2667	2.5044
id04017	73.3128	2.4667
id04018	73.3667	2.4031
id04019	73.3667	2.3635
id04020	73.3	2.328
id04021	73.2333	2.2722
id04022	73.168	2.2333
id04023	73.1333	2.1966
id04024	73.0333	2.1882
id04025	72.9665	2.2
id04026	72.9554	2.3
id04027	72.9274	2.3667
id04028	72.9289	2.4667
id04029	72.9667	2.5024
id04030	73.2	0.9019
id04031	73.3	0.9017
id04032	73.346	0.8
id04033	73.3771	0.6667
id04034	73.4667	0.5791
id04035	73.5051	0.4667
id04036	73.4667	0.3585
id04037	73.3667	0.2844
id04038	73.2333	0.2565
id04039	73.1367	0.2
id04040	73.0346	0.2667
id04041	72.9762	0.3667
id04042	72.934	0.5
id04043	73.0238	0.6
id04044	73.126	0.6667
id04045	73.2048	0.7333
id04046	73.1333	0.8325
id04047	93.5333	7.5161
id04048	93.7758	7.4333
id04049	93.7667	7.2254
id04050	93.9101	7.1667
id04051	93.9737	6.9667
id04052	93.8667	6.7333
id04053	93.7255	6.6667
id04054	93.6688	6.9
id04055	93.5333	7.0954
id04056	93.5311	7.2667
id04057	95.7333	2.9479
id04058	95.9011	2.9
id04059	96.0333	2.7775
id04060	96.1763	2.7
id04061	96.3163	2.6333
id04062	96.4	2.6345
id04063	96.4333	2.522
id04064	96.5667	2.4333
id04065	96.5694	2.2667
id04066	96.4488	2.3
id04067	96.3189	2.3667
id04068	96.145	2.3667
id04069	96.0333	2.4974
id04070	95.9134	2.5333
id04071	95.7333	2.5922
id04072	95.6596	2.7333
id04073	97.3333	1.5421
id04074	97.5333	1.5246
id04075	97.628071	1.310413
id04076	97.776	1.1667
id04077	97.9667	1.0607
id04078	98.0	0.8556
id04079	97.9521	0.6333
id04080	97.7667	0.515
id04081	97.6407	0.7
id04082	97.5	0.8553
id04083	97.3649	0.8
id04084	97.261	1.0
id04085	97.181	1.1667
id04086	97.0667	1.2356
id04087	97.0667	1.3947
id04088	98.6667	-0.5533
id04089	98.7839	-0.7333
id04090	98.9022	-0.9
id04091	99.0007	-1.1
id04092	99.102728	-1.328578
id04093	99.2	-1.51
id04094	99.3	-1.6555
id04095	99.3444	-1.9
id04096	99.2	-1.8415
id04097	99.0333	-1.8566
id04098	98.8667	-1.7232
id04099	98.7256	-1.5667
id04100	98.6211	-1.3667
id04101	98.5302	-1.1667
id04102	98.6059	-0.9667
id04103	98.7333	-0.7667
id04104	99.5	-1.9274
id04105	99.6	-1.9659
id04106	99.6632	-2.0333
id04107	99.7132	-2.1
id04108	99.7442	-2.2
id04109	99.8	-2.2717
id04110	99.8667	-2.3619
id04111	99.9023	-2.4333
id04112	99.8533	-2.4667
id04113	99.7667	-2.4175
id04114	99.6717	-2.3667
id04115	99.6	-2.3212
id04116	99.5333	-2.2659
id04117	99.4915	-2.1667
id04118	99.4615	-2.0667
id04119	99.4238	-1.9667
id04120	99.9667	-2.4984
id04121	100.1	-2.5651
id04122	100.1969	-2.6667
id04123	100.2667	-2.7724
id04124	100.3605	-2.9
id04125	100.4439	-3.0
id04126	100.5196	-3.1333
id04127	100.6	-3.2644
id04128	100.6259	-3.3333
id04129	100.4806	-3.3667
id04130	100.3615	-3.3333
id04131	100.2667	-3.2092
id04132	100.1735	-3.1
id04133	100.157	-2.9333
id04134	100.0297	-2.8667
id04135	99.9667	-2.7333
id04136	99.9458	-2.6
id04151	119.378	4.5167
id04152	118.25	4.2167
id04153	117.924	2.8667
id04154	118.55	1.6
id04155	118.821	0.8
id04156	117.64	0.3667
id04157	117.683	-0.55
id04158	117.217	-1.45
id04159	117.433	-2.3567
id04160	117.0	-3.0333
id04161	116.767	-4.3333
id04162	116.383	-4.7167
id04163	116.7	-5.2278
id04164	116.689	-5.7167
id04165	115.517	-5.4167
id04166	114.067	-5.6167
id04167	113.017	-6.4167
id04168	114.417	-6.8222
id04169	115.5	-6.1167
id04170	116.067	-7.1208
id04171	114.713	-7.1833
id04172	113.856	-7.45
id04173	113.905	-7.6
id04174	114.967	-8.1707
id04175	115.303	-8.75
id04176	114.533	-8.6429
id04177	113.5	-8.4451
id04178	119.133	4.7247
id04179	119.437	4.8667
id04180	119.433	4.5828
id04181	119.1	4.5583
id04182	118.88	4.2667
id04183	118.533	4.2524
id04184	118.1	4.1333
id04185	118.033	3.8
id04186	117.917	3.3167
id04187	118.083	2.5339
id04188	118.317	2.1833
id04189	118.494	1.7833
id04190	118.8	1.5079
id04191	118.778	1.2667
id04192	118.983	1.0553
id04193	118.733	0.8028
id04194	118.317	0.84
id04195	117.917	0.7588
id04196	117.687	0.4333
id04197	117.589	-0.05
id04198	117.75	-0.4167
id04199	117.85	-0.4393
id04200	117.65	-0.7
id04201	117.667	-0.9333
id04202	117.367	-1.1833
id04203	116.917	-1.7167
id04204	116.917	-2.05
id04205	117.269	-2.2833
id04206	117.55	-2.6
id04207	117.7	-2.9667
id04208	117.317	-2.95
id04209	116.967	-3.1
id04210	116.933	-3.4333
id04211	116.9	-3.8
id04212	116.75	-4.2333
id04213	117.083	-4.38
id04214	117.067	-4.5542
id04215	116.65	-4.6333
id04216	116.267	-4.8167
