#id lon lat MIH hmax period
id03371 100.999000 -2.533300 0.84 0.26 1289
id03372 100.889900 -2.400000 0.65 0.26 2535
id03373 100.800000 -2.238100 1.12 0.29 1263
id03374 100.760000 -2.133300 0.31 0.13 3795
id03375 100.800000 -2.000000 -1.00 -1.00 -1
id03376 100.736100 -1.866700 0.89 0.30 2564
id03377 100.700000 -1.933300 0.76 0.25 2542
id03378 100.700000 -2.050000 0.38 0.11 989
id03379 100.633300 -1.949500 0.33 0.13 2144
id03380 100.554700 -1.800000 0.47 0.18 2168
id03381 100.499700 -1.633300 0.73 0.22 2081
id03382 100.496700 -1.466700 0.63 0.19 1210
id03383 100.377800 -1.333300 0.65 0.18 959
id03384 100.299200 -1.266700 0.64 0.19 2043
id03385 100.310300 -1.066700 0.70 0.20 1163
id03386 100.305700 -0.900000 0.66 0.19 1146
id03387 100.166700 -0.822200 0.75 0.22 1136
id03388 100.081700 -0.666700 0.69 0.20 1219
id03389 99.966700 -0.545600 1.05 0.20 978
id03390 99.807400 -0.466700 0.99 0.19 1031
id03391 99.766700 -0.364100 0.96 0.19 1064
id03392 99.657100 -0.300000 0.66 0.13 1395
id03393 99.619600 -0.100000 0.88 0.17 959
id03394 99.433300 -0.062500 1.02 0.20 1155
id03395 99.266700 -0.066700 1.35 0.27 1192
id03396 99.100000 -0.116700 -1.00 -1.00 -1
id03397 98.900000 -0.094900 -1.00 -1.00 -1
id03398 98.711100 -0.133300 0.60 0.12 1083
id03399 98.612700 -0.266700 1.14 0.23 1121
id03400 98.547600 -0.433300 1.01 0.20 1133
id03401 98.521700 -0.633300 -1.00 -1.00 -1
id03402 98.333300 -0.600000 1.21 0.23 765
id03403 98.283900 -0.500000 1.05 0.20 974
id03404 98.354600 -0.333300 0.66 0.13 1102
id03405 98.300000 -0.161800 0.98 0.18 697
id03406 98.127200 -0.166700 1.31 0.26 1076
id03407 98.200000 -0.016200 0.60 0.12 1504
id03408 98.333300 0.082900 -1.00 -1.00 -1
id03409 98.454900 0.200000 1.03 0.24 2519
id03410 98.444400 0.366700 1.03 0.20 1076
id03411 98.356300 0.500000 0.51 0.10 1214
id03412 98.286000 0.666700 1.98 0.39 1035
id03413 98.288600 0.833300 -1.00 -1.00 -1
id03414 98.366700 0.983300 0.93 0.18 1106
id03415 98.366700 1.100000 -1.00 -1.00 -1
id03416 98.433300 1.180000 1.20 0.24 1095
id03417 98.633300 1.144400 1.17 0.23 1148
id03418 98.716700 1.300000 -1.00 -1.00 -1
id03419 98.666700 1.473300 -1.00 -1.00 -1
id03420 98.458300 1.500000 0.22 0.04 1158
id03421 98.415500 1.700000 0.19 0.05 2962
id03422 98.347600 1.866700 0.90 0.17 925
id03423 98.281500 2.000000 0.77 0.15 1042
id03424 98.100000 2.025600 -1.00 -1.00 -1
id03425 97.933300 2.030000 0.62 0.12 1086
id03426 97.738300 1.966700 0.72 0.14 1144
