ID lon lat depth max_ssh min_ssh period polarity return_code
 2006	+138.5667	+54.5333	 57	0.038	-0.013	 2009	-1	2
 2007	+138.4000	+54.4556	 58	0.045	-0.013	 1913	 1	2
 2008	+138.4667	+54.6333	 55	0.043	-0.013	 2018	 1	2
 2009	+138.5167	+54.8333	 55	0.035	-0.013	 2189	 1	2
 2010	+138.6667	+54.9556	 69	0.043	-0.012	 2207	 1	2
 2011	+138.5833	+55.1000	 71	0.046	-0.015	 1890	 1	3
 2012	+138.4000	+55.1872	 67	0.054	-0.024	 2186	 1	2
 2013	+138.2333	+55.3000	 72	0.059	-0.016	 2249	 1	2
 2014	+138.0000	+55.3292	 67	0.069	-0.020	 2043	 1	2
 2015	+137.8000	+55.3333	 60	0.065	-0.020	 1908	 1	2
 2016	+137.5667	+55.2980	 55	0.055	-0.014	 3959	 1	2
 2017	+137.3667	+55.2933	 51	0.052	-0.014	 2732	 1	2
 2018	+137.2000	+55.3917	 54	0.048	-0.015	 2035	 1	2
 2019	+137.0333	+55.4333	 57	0.049	-0.016	 1900	-1	2
 2020	+137.1467	+55.6000	 54	0.059	-0.016	 2111	 1	2
 2021	+137.3000	+55.7111	 53	0.056	-0.023	 2482	 1	2
 2022	+137.5000	+55.7778	 57	0.053	-0.029	 1822	-1	2
 2023	+137.6889	+55.8667	 65	0.050	-0.031	 1140	-1	2
 2024	+137.8556	+55.9667	 69	0.050	-0.029	 2076	-1	2
 2025	+138.0000	+56.0667	 68	0.048	-0.015	 2369	-1	2
 2026	+138.2000	+56.1583	 76	0.049	-0.015	 1522	-1	2
 2027	+138.4000	+56.2333	 78	0.051	-0.014	 2553	 1	2
 2028	+138.5667	+56.3067	 89	0.049	-0.014	 2359	 1	2
 2029	+138.6667	+56.4467	 88	0.062	-0.017	 2800	 1	2
 2030	+138.4889	+56.5333	 64	0.072	-0.020	 1675	 1	2
 2031	+138.6667	+56.6167	 78	0.073	-0.022	 2106	 1	2
 2032	+138.8000	+56.7667	 78	0.074	-0.028	 1197	 1	2
 2033	+138.9667	+56.8444	 75	0.075	-0.040	 2043	 1	2
 2034	+139.1333	+56.9333	 80	0.076	-0.046	 1937	 1	2
 2035	+139.3000	+57.0500	 76	0.081	-0.047	 1905	 1	2
 2036	+139.4667	+57.1458	 70	0.084	-0.058	 2797	 1	3
 2037	+139.6667	+57.1389	 87	0.071	-0.039	 1972	 1	2
 2038	+139.8667	+57.2000	 93	0.065	-0.042	 1991	 1	2
 2039	+140.0333	+57.3278	 86	0.071	-0.037	 2164	 1	2
 2040	+140.1750	+57.4333	 86	0.075	-0.040	 2535	 1	3
