#id lon lat MIH hmax period
id03403 98.283900 -0.500000 3.66 0.73 1195
id03404 98.354600 -0.333300 5.52 1.12 1300
id03405 98.300000 -0.161800 4.30 0.91 1606
id03406 98.127200 -0.166700 4.72 0.94 1214
id03407 98.200000 -0.016200 4.80 0.89 741
id03408 98.333300 0.082900 2.39 0.48 1207
id03409 98.454900 0.200000 2.09 0.43 1459
id03410 98.444400 0.366700 3.38 0.62 2448
id03411 98.356300 0.500000 3.07 0.55 533
id03412 98.286000 0.666700 2.55 0.45 502
id03413 98.288600 0.833300 2.33 0.40 268
id03414 98.366700 0.983300 2.24 0.44 1140
id03415 98.366700 1.100000 2.10 0.41 1035
id03416 98.433300 1.180000 2.25 0.50 2033
id03417 98.633300 1.144400 3.25 0.62 938
id03418 98.716700 1.300000 3.53 0.73 1480
id03419 98.666700 1.473300 4.85 0.97 5811
id03420 98.458300 1.500000 4.16 0.70 1498
id03421 98.415500 1.700000 2.42 0.51 1658
id03422 98.347600 1.866700 2.22 0.51 2295
id03423 98.281500 2.000000 1.91 0.43 2152
id03424 98.100000 2.025600 3.38 0.58 1724
id03425 97.933300 2.030000 2.73 0.45 1264
id03426 97.738300 1.966700 2.46 0.46 779
id03427 97.600000 2.030600 4.38 0.90 1432
id03428 97.447400 2.000000 4.60 0.88 927
id03429 97.333300 2.004900 6.25 1.27 1320
id03430 97.200000 2.051100 7.82 2.03 3306
id03431 97.066700 2.017600 5.69 1.16 1365
id03432 97.078100 2.200000 8.03 1.62 1282
id03433 97.100000 2.315900 6.37 1.24 1019
id03434 97.066700 2.342800 8.50 1.62 892
id03435 97.266700 2.322200 4.99 1.15 2306
id03436 97.423900 2.400000 6.78 1.14 331
id03437 97.403000 2.566700 7.74 1.49 936
id03438 97.465200 2.700000 5.12 1.38 3721
id03439 97.333300 2.831000 6.35 1.28 1303
id03440 97.200000 2.908000 6.88 1.34 1027
id03441 97.166700 3.035200 8.02 1.31 1090
id03442 97.133300 3.189700 9.99 2.07 1474
id03443 97.048300 3.333300 5.95 1.25 148
id03444 96.913000 3.433300 5.92 1.68 1035
id03445 96.740200 3.500000 5.91 1.78 1274
id03446 96.666700 3.652000 4.76 1.74 2043
id03447 96.480400 3.600000 4.58 1.62 1862
id03448 96.366700 3.632100 5.97 1.26 499
id03449 96.386100 3.733300 6.01 1.50 711
id03450 96.300000 3.819600 5.49 1.38 731
id03451 96.127800 3.866700 7.52 1.59 488
id03452 96.000000 3.986700 6.18 1.52 666
id03453 95.800000 3.962800 7.54 1.99 854
id03454 95.733300 4.073300 3.99 1.11 978
id03455 95.840700 4.200000 6.74 1.73 1184
id03456 95.700000 4.300000 7.68 2.06 888
id03457 95.600000 4.433300 5.79 1.50 813
id03458 95.500000 4.531700 4.07 1.15 1016
id03459 95.368300 4.600000 2.47 0.72 1159
id03460 95.310700 4.766700 2.99 0.92 1357
id03461 95.211900 4.900000 3.45 0.83 610
id03462 95.195200 5.033300 4.84 1.31 1447
id03463 95.133300 5.207600 2.79 0.78 989
id03464 95.066700 5.355600 3.68 0.93 1121
